,Date,Action,Ticker,Quantity,Price,Cash
0,2010-01-29,BUY,AAPL,54303,6.0105509757995605,673609.0503611565
1,2010-01-29,BUY,NFLX,15733,9.005714416503906,531922.1454463005
2,2010-01-29,BUY,NVDA,1441816,0.3689228892326355,3.22098445892334
3,2010-02-26,SELL,AAPL,42997,6.092285633087158,261953.22635030746
4,2010-02-26,SELL,NFLX,12102,9.372857093811035,375383.5428996086
5,2010-02-26,BUY,NVDA,998278,0.37603074312210083,0.3247171640396118
6,2010-03-31,SELL,AAPL,11306,7.113194465637207,80422.1013456583
7,2010-03-31,SELL,NFLX,2982,10.722857475280762,112397.66233694553
8,2010-03-31,BUY,NVDA,278051,0.4042331278324127,0.23691001534461975
9,2010-04-30,SELL,NFLX,364,14.738571166992188,5365.076814800501
10,2010-04-30,BUY,NVDA,14053,0.3817630410194397,0.16079935431480408
11,2010-05-05,SELL,NVDA,2732198,0.3381984829902649,924025.3796283901
12,2010-05-31,BUY,NFLX,361,15.878570556640625,918293.2156574428
13,2010-05-31,BUY,NVDA,3047905,0.30128321051597595,10.611909747123718
14,2010-06-08,SELL,NVDA,3047905,0.2636801302433014,803682.5992789567
15,2010-06-30,BUY,AAPL,11707,7.726045608520508,713233.7833400071
16,2010-06-30,BUY,AMZN,16656,5.430500030517578,622783.3748317063
17,2010-06-30,BUY,CSCO,6269,14.42679500579834,532341.7969403565
18,2010-06-30,BUY,GOOGL,7976,11.339789390563965,441895.6367612183
19,2010-06-30,BUY,INTC,6953,13.00726318359375,351456.13584569097
20,2010-06-30,BUY,MSFT,5097,17.74598503112793,261004.8501420319
21,2010-06-30,BUY,NFLX,4978,16.082857131958008,180944.38733914495
22,2010-06-30,BUY,NVDA,376425,0.24029292166233063,90492.12430240214
23,2010-06-30,BUY,TSLA,56793,1.5926669836044312,39.788302555680275
24,2010-07-03,SELL,TSLA,56793,1.2799999713897705,72734.82667769492
25,2010-07-29,SELL,NFLX,5624,14.329999923706055,153326.74624861777
26,2010-07-30,SELL,NVDA,376425,0.20933914184570312,232127.23271788657
27,2010-07-30,SELL,AMZN,16656,5.8429999351501465,329448.2396377474
28,2010-07-30,SELL,CSCO,6269,15.487783432006836,426541.15397299826
29,2010-07-30,SELL,GOOGL,7975,12.106907844543457,523093.74403323233
30,2010-07-30,SELL,INTC,6953,13.822278022766113,619200.0431255251
31,2010-07-30,SELL,MSFT,5097,19.816722869873047,720205.879593268
32,2010-07-30,BUY,AAPL,22408,7.784553527832031,545769.6041416079
33,2010-07-30,BUY,NFLX,1386,14.002857208251953,526361.6440509707
34,2010-07-30,BUY,NVDA,2321037,0.20933914184570312,40477.75027884543
35,2010-07-30,BUY,TSLA,29836,1.3566670417785645,0.23242034018039703
36,2010-08-12,SELL,TSLA,29836,1.1933330297470093,35604.51669587195
37,2010-08-31,SELL,AAPL,10539,7.313759803771973,112684.23126782477
38,2010-08-31,SELL,NFLX,155,17.58571434020996,115410.01699055731
39,2010-08-31,SELL,NVDA,13635,0.2210327535867691,118423.79858571291
